model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,RMSE,MAPE,SMAPE,RMSSE
PerItemWeightedEnsemble,-139521422115.52484,-139521422115.52484,3.1079764366149902,3.182348135858774,0.10974705591797829,8,-303352.4887184522,-373525.6646008743,-0.007742359637356068,-0.007708806349077542,-0.06350318175676681
WeightedEnsemble,-139521728241.19296,-139521728241.19296,3.1062052249908447,3.182044176850468,0.12173942802473903,7,-303352.8529256721,-373526.0743792767,-0.007742368862697746,-0.007708815461157407,-0.06350325142328463
RecursiveTabular,-362486180811.32263,-362486180811.32263,0.051161766052246094,0.02804279327392578,0.34990453720092773,3,-487361.3398696365,-602068.2526186899,-0.012362672237816412,-0.012279643776988316,-0.10235775824635043
SimpleAverageEnsemble,-437606091422.20984,-437606091422.20984,6.454152584075928,6.537026942707598,0.000608531292527914,9,-589277.7601669505,-661518.0204818383,-0.015086148761778427,-0.014943686451751448,-0.11246482657335574
MedianEnsemble,-772900528591.4856,-772900528591.4856,6.4538679122924805,6.536777883768082,0.0014836830087006092,10,-784837.96083731,-879147.6147903068,-0.02008694396627338,-0.01983634664872242,-0.149464082562337
SeasonalNaive,-840878916488.0,-840878916488.0,1.465378761291504,1.498023271560669,0.012707710266113281,2,-791142.5714285715,-916994.5018853712,-0.02021929814248327,-0.019951394290097086,-0.15589844029969308
ETS,-1013247951474.9213,-1013247951474.9213,1.6869683265686035,1.6848278045654297,0.008160591125488281,5,-920923.4358625317,-1006602.1813382491,-0.023574119642723372,-0.023246196192920236,-0.17113266191918625
Theta,-1081761713227.0724,-1081761713227.0724,1.65944242477417,1.669891357421875,0.01075291633605957,6,-953474.229253225,-1040077.7438379654,-0.02440477746980806,-0.024054840342207888,-0.17682384978468674
DirectTabular,-1102631593876.0,-1102631593876.0,0.06204724311828613,0.03193473815917969,0.2896232604980469,4,-778993.1428571428,-1050062.661880709,-0.01988638600262647,-0.020079091863043266,-0.17852138793369796
Naive,-1613934992609.7144,-1613934992609.7144,1.5260777473449707,1.6228132247924805,0.009264945983886719,1,-1127720.857142857,-1270407.4120571378,-0.028967406748929312,-0.0284411637320593,-0.2159822481788828
