model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,RMSE,MAPE,SMAPE,RMSSE
WeightedEnsemble,-361250108.26750517,-361250108.26750517,1.714994192123413,1.4675634121522307,0.1096022529527545,7,-16803.36414405645,-19006.580656906837,-0.1360419350724102,-0.12595609962742807,-0.7179030625536976
PerItemWeightedEnsemble,-361250108.26750517,-361250108.26750517,1.7158024311065674,1.4677550122141838,0.10798376379534602,8,-16803.36414405645,-19006.580656906837,-0.1360419350724102,-0.12595609962742807,-0.7179030625536976
RecursiveTabular,-401817419.61407226,-401817419.61407226,0.04446864128112793,0.027521848678588867,0.32219409942626953,3,-18188.698904124252,-20045.38399767069,-0.14432280992627614,-0.137378739065109,-0.7571400043891235
Naive,-424130419.5714286,-424130419.5714286,1.670095682144165,1.4393947124481201,0.00870656967163086,1,-18061.85714285714,-20594.426905632226,-0.14765255277141262,-0.1344316205804331,-0.7778780630759572
MedianEnsemble,-474107062.69992274,-474107062.69992274,3.728436231613159,6.246061889920384,0.0012644268572330475,10,-19104.465154309688,-21773.999694588103,-0.15613638931721058,-0.1414487364003683,-0.8224320485077715
SimpleAverageEnsemble,-497113886.3684817,-497113886.3684817,3.72737979888916,6.246424476616085,0.0005132691003382206,9,-19319.70918732882,-22296.050914197378,-0.1579838264847417,-0.14268176681775704,-0.8421505963166958
Theta,-500183817.4940237,-500183817.4940237,0.20702528953552246,1.6376895904541016,0.009180068969726562,6,-20451.46752754629,-22364.789681417165,-0.16588242607664597,-0.150519132715018,-0.8447469482010268
ETS,-516074448.79215515,-516074448.79215515,1.7404673099517822,1.6656773090362549,0.008035898208618164,5,-20449.320591885345,-22717.27203675994,-0.16639577897058258,-0.1505257824374256,-0.8580606613283147
SeasonalNaive,-633695192.4285715,-633695192.4285715,0.014371395111083984,1.4441227912902832,0.009810924530029297,2,-20368.714285714286,-25173.303168805072,-0.1674500943235955,-0.14824989403430142,-0.9508281245164761
DirectTabular,-796044301.9529158,-796044301.9529158,0.04936552047729492,0.030617237091064453,0.3377218246459961,4,-24552.78125,-28214.257068952138,-0.20023223348569322,-0.1767381037123084,-1.065688874980125
