date,value
2023/5/1,
2023/5/2,
,26267232
2023/5/4,29788482
2023/5/5,31251415

2023/5/7,30855604
2023/5/8,31778689
2023/5/9,32288018
2023/5/10,32707611
2023/5/11,32861605
2023/5/12,32991930
2023/5/13,32732110
2023/5/14,31980881
2023/5/15,32932571
2023/5/16,33585051
2023/5/17,34095770
2023/5/18,34967183
2023/5/19,33807488
2023/5/20,33605348
2023/5/21,32762441
2023/5/22,32883965
2023/5/23,33166790
2023/5/24,33155235
2023/5/25,33279421
2023/5/26,33916258
2023/5/27,33621624
2023/5/28,32910832
2023/5/29,32555020
2023/5/30,33279637
2023/5/31,32538885
2023/6/1,32494974
2023/6/2,32928660
2023/6/3,32500339
2023/6/4,31294264
2023/6/5,32145867
2023/6/6,32655653
2023/6/7,33158369
2023/6/8,32922543
2023/6/9,32740763
2023/6/10,32706799
2023/6/11,31619662
2023/6/12,32632491
2023/6/13,33082485
2023/6/14,32917487
2023/6/15,33223093
2023/6/16,33053172
2023/6/17,33757670
2023/6/18,32513033
2023/6/19,34235094
2023/6/20,33428989
2023/6/21,32658353
2023/6/22,29596618
2023/6/23,30925956
2023/6/24,32122320
2023/6/25,33904521
2023/6/26,34406908
2023/6/27,35067164
2023/6/28,35025914
2023/6/29,35121706
2023/6/30,33864426
2023/7/1,33676053
2023/7/2,34125180
2023/7/3,35718896
2023/7/4,36667468
2023/7/5,34789469
2023/7/6,35892576
2023/7/7,36349805
2023/7/8,35904647
2023/7/9,34475098
2023/7/10,35816364
2023/7/11,36139864
2023/7/12,37545547
2023/7/13,37098016
2023/7/14,36419234
2023/7/15,36158266
2023/7/16,34310001
2023/7/17,35566980
2023/7/18,35881759
2023/7/19,36321933
2023/7/20,36496855
2023/7/21,36997786
2023/7/22,36777457
2023/7/23,35201348
2023/7/24,35388179
2023/7/25,35988003
2023/7/26,36286846
2023/7/27,35998001
2023/7/28,36550931
2023/7/29,36424660
2023/7/30,35012284
2023/7/31,35130652
2023/8/1,34610806
2023/8/2,34867387
2023/8/3,34983378
2023/8/4,35604464
2023/8/5,35939614
2023/8/6,34529768
2023/8/7,35138088
2023/8/8,36329609
2023/8/9,36362565
2023/8/10,36569759
2023/8/11,36811838
2023/8/12,37976858
2023/8/13,36349457
2023/8/14,36397154
2023/8/15,36882745
2023/8/16,36776430
2023/8/17,36803411
2023/8/18,37156522
2023/8/19,36678660
2023/8/20,35981627
2023/8/21,37128549
2023/8/22,36465779
2023/8/23,36154775
2023/8/24,36460276
2023/8/25,36705035
2023/8/26,37068544
2023/8/27,36407691
2023/8/28,36465883
2023/8/29,35430273
2023/8/30,35014014
2023/8/31,35146106
2023/9/1,35425239
2023/9/2,35671293
2023/9/3,35124177
2023/9/4,36297798
2023/9/5,37041876
2023/9/6,37073310
2023/9/7,37001463
2023/9/8,37170151
2023/9/9,36980901
2023/9/10,36471605
2023/9/11,37436851
2023/9/12,38011774
2023/9/13,36848387
2023/9/14,36024497
2023/9/15,36312588
2023/9/16,36304077
2023/9/17,35458794
2023/9/18,36859382
2023/9/19,38165860
2023/9/20,36444590
2023/9/21,36656629
2023/9/22,36488601
2023/9/23,36518339
2023/9/24,36116030
2023/9/25,36099577
2023/9/26,36194553
2023/9/27,35261343
2023/9/28,32786715
2023/9/29,26143405
2023/9/30,24094164
2023/10/1,23219235
2023/10/2,25156452
2023/10/3,28013798
2023/10/4,31377248
2023/10/5,32757612
2023/10/6,34382526
2023/10/7,34294062
2023/10/8,33734318
2023/10/9,33956821
2023/10/10,34729747
2023/10/11,35140013
2023/10/12,35710882
2023/10/13,35572804
2023/10/14,35155095
2023/10/15,33958656
2023/10/16,33705281
2023/10/17,33932461
2023/10/18,35023352
2023/10/19,35835445
2023/10/20,35006838
2023/10/21,34985450
2023/10/22,34244331
2023/10/23,34814329
2023/10/24,35061225
2023/10/25,35087495
2023/10/26,35209599
2023/10/27,35192753
2023/10/28,35004143
2023/10/29,33512169
2023/10/30,34848962
2023/10/31,34025613
2023/11/1,33984174
2023/11/2,34400811
2023/11/3,35972505
2023/11/4,35850373
2023/11/5,35070034
2023/11/6,34754172
2023/11/7,35212413
2023/11/8,35185952
2023/11/9,35810679
2023/11/10,35504737
2023/11/11,35798839
2023/11/12,33818769
2023/11/13,34695431
2023/11/14,35179031
2023/11/15,35678602
2023/11/16,35256629
2023/11/17,35301802
2023/11/18,34904232
2023/11/19,33468861
2023/11/20,33625727
2023/11/21,34004743
2023/11/22,34477876
2023/11/23,34612305
2023/11/24,34919644
2023/11/25,35423582
2023/11/26,34577746
2023/11/27,34890634
2023/11/28,34975463
2023/11/29,35124602
2023/11/30,34619568
2023/12/1,34507393
2023/12/2,34239595
2023/12/3,32844752
2023/12/4,33396796
2023/12/5,33822521
2023/12/6,34088709
2023/12/7,34444954
2023/12/8,34571330
2023/12/9,34713844
2023/12/10,34275005
2023/12/11,35819171
2023/12/12,35994737
2023/12/13,36438018
2023/12/14,36101900
2023/12/15,35718623
2023/12/16,34935731
2023/12/17,33815670
2023/12/18,35297381
2023/12/19,35258107
2023/12/20,35018731
2023/12/21,34873130
2023/12/22,34649403
2023/12/23,34710492
2023/12/24,33823806
2023/12/25,33139969
2023/12/26,32444672
2023/12/27,31647795
2023/12/28,30690788
2023/12/29,30019407
2023/12/30,27558062
2023/12/31,25128395
2024/1/1,26035166
2024/1/2,32970970
2024/1/3,35359694
2024/1/4,35954968
2024/1/5,36539574
2024/1/6,36502586
2024/1/7,35697906
2024/1/8,36655671
2024/1/9,37283203
2024/1/10,36471706
2024/1/11,36335178
2024/1/12,36394380
2024/1/13,36326365
2024/1/14,35377372
2024/1/15,36176654
2024/1/16,37142773
2024/1/17,37341149
2024/1/18,37059525
2024/1/19,37276509
2024/1/20,36945530
2024/1/21,35570546
2024/1/22,36131927
2024/1/23,35786522
2024/1/24,34966425
2024/1/25,33279417
2024/1/26,32626236
2024/1/27,31774195
2024/1/28,30045618
2024/1/29,29023901
2024/1/30,27925056
2024/1/31,26534505
2024/2/1,24286029
2024/2/2,21870041
2024/2/3,20069501
2024/2/4,18603895
2024/2/5,15813208
2024/2/6,13044450
2024/2/7,10620124
2024/2/8,7972232
2024/2/9,5474506
2024/2/10,4845458
2024/2/11,5316133
2024/2/12,6625126
2024/2/13,9113129
2024/2/14,11581042
2024/2/15,15340536
2024/2/16,19289448
2024/2/17,22505331
2024/2/18,26836130
2024/2/19,29956223
2024/2/20,32157502
2024/2/21,32848234
2024/2/22,33155443
2024/2/23,33373880
2024/2/24,33309466
2024/2/25,32588761
2024/2/26,34175428
2024/2/27,34891789
2024/2/28,35864723
2024/2/29,36106305
2024/3/1,35865851
2024/3/2,35900566
2024/3/3,34624889
2024/3/4,36728528
2024/3/5,37720936
2024/3/6,36698134
2024/3/7,36852722
2024/3/8,36456145
2024/3/9,36019668
2024/3/10,35010503
2024/3/11,35920470
2024/3/12,36260285
2024/3/13,36798024
2024/3/14,36203703
2024/3/15,35920838
2024/3/16,36085758
2024/3/17,34774027
2024/3/18,36380136
2024/3/19,35736361
2024/3/20,35656361
2024/3/21,35845668
2024/3/22,35794747
2024/3/23,35928887
2024/3/24,35129471
2024/3/25,37609855
2024/3/26,35766312
