time,value,shandong_rhhi
2023-05-01,25386966,43.099179
2023-05-02,23861797,55.510489
2023-05-03,26267232,84.472275
2023-05-04,29788482,97.167392
2023-05-05,31251415,74.619745
2023-05-06,30900396,54.947283
2023-05-07,30855604,48.272932
2023-05-08,31778689,48.393587
2023-05-09,32288018,51.972712
2023-05-10,32707611,53.976633
2023-05-11,32861605,50.195778
2023-05-12,32991930,56.00545
2023-05-13,32732110,62.688538
2023-05-14,31980881,60.544954
2023-05-15,32932571,56.423671
2023-05-16,33585051,54.213441
2023-05-17,34095770,70.489074
2023-05-18,34967183,81.639654
2023-05-19,33807488,66.683173
2023-05-20,33605348,55.331665
2023-05-21,32762441,56.939266
2023-05-22,32883965,52.584865
2023-05-23,33166790,45.532683
2023-05-24,33155235,51.797958
2023-05-25,33279421,72.55967
2023-05-26,33916258,77.921163
2023-05-27,33621624,92.449092
2023-05-28,32910832,94.821947
2023-05-29,32555020,82.520479
2023-05-30,33279637,80.389182
2023-05-31,32538885,72.443559
2023-06-01,32494974,64.615337
2023-06-02,32928660,61.336421
2023-06-03,32500339,49.970701
2023-06-04,31294264,67.152731
2023-06-05,32145867,67.063063
2023-06-06,32655653,57.192547
2023-06-07,33158369,54.566875
2023-06-08,32922543,41.552702
2023-06-09,32740763,42.966457
2023-06-10,32706799,53.881463
2023-06-11,31619662,62.098458
2023-06-12,32632491,67.377884
2023-06-13,33082485,61.951545
2023-06-14,32917487,53.627077
2023-06-15,33223093,51.275372
2023-06-16,33053172,56.73554
2023-06-17,33757670,70.274945
2023-06-18,32513033,71.066983
2023-06-19,34235094,87.339713
2023-06-20,33428989,71.472569
2023-06-21,32658353,51.410543
2023-06-22,29596618,43.783844
2023-06-23,30925956,47.265787
2023-06-24,32122320,55.963311
2023-06-25,33904521,81.101645
2023-06-26,34406908,69.967506
2023-06-27,35067164,67.985591
2023-06-28,35025914,82.024463
2023-06-29,35121706,80.491675
2023-06-30,33864426,64.46715
2023-07-01,33676053,64.555944
2023-07-02,34125180,74.418956
2023-07-03,35718896,85.981268
2023-07-04,36667468,82.184101
2023-07-05,34789469,52.35249
2023-07-06,35892576,68.465574
2023-07-07,36349805,71.475675
2023-07-08,35904647,70.430685
2023-07-09,34475098,65.348712
2023-07-10,35816364,74.703337
2023-07-11,36139864,82.124741
2023-07-12,37545547,94.214216
2023-07-13,37098016,88.761063
2023-07-14,36419234,67.408931
2023-07-15,36158266,63.945735
2023-07-16,34310001,64.605857
2023-07-17,35566980,67.492095
2023-07-18,35881759,72.19874
2023-07-19,36321933,71.952542
2023-07-20,36496855,75.572115
2023-07-21,36997786,85.801968
2023-07-22,36777457,87.403479
2023-07-23,35201348,82.758137
2023-07-24,35388179,76.487329
2023-07-25,35988003,78.217424
2023-07-26,36286846,82.208951
2023-07-27,35998001,80.312573
2023-07-28,36550931,85.742465
2023-07-29,36424660,90.5066
2023-07-30,35012284,89.901287
2023-07-31,35130652,85.714322
2023-08-01,34610806,83.575641
2023-08-02,34867387,85.615899
2023-08-03,34983378,84.18524
2023-08-04,35604464,75.721428
2023-08-05,35939614,86.265997
2023-08-06,34529768,82.995903
2023-08-07,35138088,85.006028
2023-08-08,36329609,79.472776
2023-08-09,36362565,75.493896
2023-08-10,36569759,70.499789
2023-08-11,36811838,68.81843
2023-08-12,37976858,81.994165
2023-08-13,36349457,80.37121
2023-08-14,36397154,75.359022
2023-08-15,36882745,73.666915
2023-08-16,36776430,70.19498
2023-08-17,36803411,71.219934
2023-08-18,37156522,75.594404
2023-08-19,36678660,74.547291
2023-08-20,35981627,78.343922
2023-08-21,37128549,87.45253
2023-08-22,36465779,77.094246
2023-08-23,36154775,70.416894
2023-08-24,36460276,74.273315
2023-08-25,36705035,73.977874
2023-08-26,37068544,77.108231
2023-08-27,36407691,88.96719
2023-08-28,36465883,80.711388
2023-08-29,35430273,73.088158
2023-08-30,35014014,70.740699
2023-08-31,35146106,72.189902
2023-09-01,35425239,77.122454
2023-09-02,35671293,74.509914
2023-09-03,35124177,72.241578
2023-09-04,36297798,72.551057
2023-09-05,37041876,71.778654
2023-09-06,37073310,74.794569
2023-09-07,37001463,70.620033
2023-09-08,37170151,69.145276
2023-09-09,36980901,68.562276
2023-09-10,36471605,73.632447
2023-09-11,37436851,77.820206
2023-09-12,38011774,86.440413
2023-09-13,36848387,69.50612
2023-09-14,36024497,59.462346
2023-09-15,36312588,67.196551
2023-09-16,36304077,66.041018
2023-09-17,35458794,67.303411
2023-09-18,36859382,68.788511
2023-09-19,38165860,89.389074
2023-09-20,36444590,64.49003
2023-09-21,36656629,59.764164
2023-09-22,36488601,62.100222
2023-09-23,36518339,71.159986
2023-09-24,36116030,86.012367
2023-09-25,36099577,85.235653
2023-09-26,36194553,83.794306
2023-09-27,35261343,83.487484
2023-09-28,32786715,74.223479
2023-09-29,26143405,71.006826
2023-09-30,24094164,65.32272
2023-10-01,23219235,53.732858
2023-10-02,25156452,58.852215
2023-10-03,28013798,66.286224
2023-10-04,31377248,67.277969
2023-10-05,32757612,52.604457
2023-10-06,34382526,58.273637
2023-10-07,34294062,64.463903
2023-10-08,33734318,63.542744
2023-10-09,33956821,59.835898
2023-10-10,34729747,62.510679
2023-10-11,35140013,64.653664
2023-10-12,35710882,67.989093
2023-10-13,35572804,70.336749
2023-10-14,35155095,62.861003
2023-10-15,33958656,60.03893
2023-10-16,33705281,58.839034
2023-10-17,33932461,63.032829
2023-10-18,35023352,61.10716
2023-10-19,35835445,53.417363
2023-10-20,35006838,40.04507
2023-10-21,34985450,46.985948
2023-10-22,34244331,51.88707
2023-10-23,34814329,52.42748
2023-10-24,35061225,61.142748
2023-10-25,35087495,64.950762
2023-10-26,35209599,58.709135
2023-10-27,35192753,52.018731
2023-10-28,35004143,62.10612
2023-10-29,33512169,61.490446
2023-10-30,34848962,65.736511
2023-10-31,34025613,65.577795
2023-11-01,33984174,60.933236
2023-11-02,34400811,56.705531
2023-11-03,35972505,63.365482
2023-11-04,35850373,67.994315
2023-11-05,35070034,87.490506
2023-11-06,34754172,40.856303
2023-11-07,35212413,50.527878
2023-11-08,35185952,65.957044
2023-11-09,35810679,62.586693
2023-11-10,35504737,44.175726
2023-11-11,35798839,64.8384
2023-11-12,33818769,53.959479
2023-11-13,34695431,51.150953
2023-11-14,35179031,58.965955
2023-11-15,35678602,67.119051
2023-11-16,35256629,50.525982
2023-11-17,35301802,40.606742
2023-11-18,34904232,46.203507
2023-11-19,33468861,63.932925
2023-11-20,33625727,67.347414
2023-11-21,34004743,75.387378
2023-11-22,34477876,72.062342
2023-11-23,34612305,38.626495
2023-11-24,34919644,41.274265
2023-11-25,35423582,54.947371
2023-11-26,34577746,77.732139
2023-11-27,34890634,69.520327
2023-11-28,34975463,49.895194
2023-11-29,35124602,47.703864
