time,value,shandong_rhhi
2023-05-01,95436,43.099179
2023-05-02,77292,55.510489
2023-05-03,73577,84.472275
2023-05-04,73821,97.167392
2023-05-05,83259,74.619745
2023-05-06,91485,54.947283
2023-05-07,60490,48.272932
2023-05-08,61101,48.393587
2023-05-09,70454,51.972712
2023-05-10,96484,53.976633
2023-05-11,102686,50.195778
2023-05-12,95595,56.00545
2023-05-13,65708,62.688538
2023-05-14,86136,60.544954
2023-05-15,115861,56.423671
2023-05-16,110302,54.213441
2023-05-17,93826,70.489074
2023-05-18,103582,81.639654
2023-05-19,108336,66.683173
2023-05-20,107752,55.331665
2023-05-21,92690,56.939266
2023-05-22,79320,52.584865
2023-05-23,62026,45.532683
2023-05-24,66267,51.797958
2023-05-25,89526,72.55967
2023-05-26,84805,77.921163
2023-05-27,74697,92.449092
2023-05-28,65240,94.821947
2023-05-29,102836,82.520479
2023-05-30,95732,80.389182
2023-05-31,90644,72.443559
2023-06-01,93989,64.615337
2023-06-02,115498,61.336421
2023-06-03,96750,49.970701
2023-06-04,83419,67.152731
2023-06-05,81980,67.063063
2023-06-06,88469,57.192547
2023-06-07,88172,54.566875
2023-06-08,96587,41.552702
2023-06-09,91702,42.966457
2023-06-10,72479,53.881463
2023-06-11,71199,62.098458
2023-06-12,68765,67.377884
2023-06-13,59923,61.951545
2023-06-14,74780,53.627077
2023-06-15,62740,51.275372
2023-06-16,97653,56.73554
2023-06-17,100125,70.274945
2023-06-18,85936,71.066983
2023-06-19,68975,87.339713
2023-06-20,61478,71.472569
2023-06-21,73484,51.410543
2023-06-22,73910,43.783844
2023-06-23,96742,47.265787
2023-06-24,109116,55.963311
2023-06-25,93138,81.101645
2023-06-26,73203,69.967506
2023-06-27,90686,67.985591
2023-06-28,107769,82.024463
2023-06-29,89411,80.491675
2023-06-30,79436,64.46715
2023-07-01,75609,64.555944
2023-07-02,65488,74.418956
2023-07-03,94944,85.981268
2023-07-04,117028,82.184101
2023-07-05,101300,52.35249
2023-07-06,80347,68.465574
2023-07-07,90474,71.475675
2023-07-08,107557,70.430685
2023-07-09,117488,65.348712
2023-07-10,102513,74.703337
2023-07-11,87741,82.124741
2023-07-12,91032,94.214216
2023-07-13,108394,88.761063
2023-07-14,126164,67.408931
2023-07-15,113885,63.945735
2023-07-16,88423,64.605857
2023-07-17,111922,67.492095
2023-07-18,112219,72.19874
2023-07-19,107169,71.952542
2023-07-20,110520,75.572115
2023-07-21,117054,85.801968
2023-07-22,75702,87.403479
2023-07-23,73569,82.758137
2023-07-24,90012,76.487329
2023-07-25,77751,78.217424
2023-07-26,82514,82.208951
2023-07-27,70629,80.312573
2023-07-28,63357,85.742465
2023-07-29,55225,90.5066
2023-07-30,73547,89.901287
2023-07-31,56284,85.714322
2023-08-01,55417,83.575641
2023-08-02,56942,85.615899
2023-08-03,76694,84.18524
2023-08-04,103777,75.721428
2023-08-05,84557,86.265997
2023-08-06,74312,82.995903
2023-08-07,63060,85.006028
2023-08-08,95855,79.472776
2023-08-09,74544,75.493896
2023-08-10,86471,70.499789
2023-08-11,77393,68.81843
2023-08-12,98613,81.994165
2023-08-13,81862,80.37121
2023-08-14,76036,75.359022
2023-08-15,73852,73.666915
2023-08-16,73904,70.19498
2023-08-17,73111,71.219934
2023-08-18,70786,75.594404
2023-08-19,77444,74.547291
2023-08-20,98104,78.343922
2023-08-21,103557,87.45253
2023-08-22,71139,77.094246
2023-08-23,67968,70.416894
2023-08-24,64395,74.273315
2023-08-25,66077,73.977874
2023-08-26,53621,77.108231
2023-08-27,52029,88.96719
2023-08-28,81226,80.711388
2023-08-29,118871,73.088158
2023-08-30,109852,70.740699
2023-08-31,69800,72.189902
2023-09-01,68586,77.122454
2023-09-02,58769,74.509914
2023-09-03,74102,72.241578
2023-09-04,70024,72.551057
2023-09-05,71047,71.778654
2023-09-06,72822,74.794569
2023-09-07,73234,70.620033
2023-09-08,90335,69.145276
2023-09-09,80651,68.562276
2023-09-10,73283,73.632447
2023-09-11,71592,77.820206
2023-09-12,68197,86.440413
2023-09-13,71357,69.50612
2023-09-14,68161,59.462346
2023-09-15,82530,67.196551
2023-09-16,74877,66.041018
2023-09-17,80214,67.303411
2023-09-18,75406,68.788511
2023-09-19,63401,89.389074
2023-09-20,59464,64.49003
2023-09-21,67678,59.764164
2023-09-22,99355,62.100222
2023-09-23,123270,71.159986
