time,value
2023-01-02 00:00:00,13.76
2023-01-02 00:15:00,12.33
2023-01-02 00:30:00,0.0
2023-01-02 00:45:00,10.99
2023-01-02 01:00:00,11.2
2023-01-02 01:15:00,10.48
2023-01-02 01:30:00,0.0
2023-01-02 01:45:00,10.61
2023-01-02 02:00:00,9.98
2023-01-02 02:15:00,9.38
2023-01-02 02:30:00,9.4
2023-01-02 02:45:00,10.39
2023-01-02 03:00:00,9.84
2023-01-02 03:15:00,10.05
2023-01-02 03:30:00,0.0
2023-01-02 03:45:00,10.28
2023-01-02 04:00:00,9.11
2023-01-02 04:15:00,0.0
2023-01-02 04:30:00,9.73
2023-01-02 04:45:00,0.0
2023-01-02 05:00:00,4.985
2023-01-02 05:15:00,9.97
2023-01-02 05:30:00,9.92
2023-01-02 05:45:00,9.93
2023-01-02 06:00:00,10.73
2023-01-02 06:15:00,11.53
2023-01-02 06:30:00,14.01
2023-01-02 06:45:00,19.01
2023-01-02 07:00:00,23.165
2023-01-02 07:15:00,27.32
2023-01-02 07:30:00,0.0
2023-01-02 07:45:00,0.0
2023-01-02 08:00:00,0.0
2023-01-02 08:15:00,22.43
2023-01-02 08:30:00,26.33
2023-01-02 08:45:00,0.0
2023-01-02 09:00:00,21.95
2023-01-02 09:15:00,18.27
2023-01-02 09:30:00,22.26
2023-01-02 09:45:00,21.69
2023-01-02 10:00:00,20.97
2023-01-02 10:15:00,21.22
2023-01-02 10:30:00,17.61
2023-01-02 10:45:00,23.28
2023-01-02 11:00:00,11.64
2023-01-02 11:15:00,0.0
2023-01-02 11:30:00,0.0
2023-01-02 11:45:00,29.64
2023-01-02 12:00:00,29.03
2023-01-02 12:15:00,25.49
2023-01-02 12:30:00,25.17
2023-01-02 12:45:00,0.0
2023-01-02 13:00:00,24.02
2023-01-02 13:15:00,19.26
2023-01-02 13:30:00,19.99
2023-01-02 13:45:00,21.77
2023-01-02 14:00:00,18.03
2023-01-02 14:15:00,0.0
2023-01-02 14:30:00,20.15
2023-01-02 14:45:00,0.0
2023-01-02 15:00:00,17.41
2023-01-02 15:15:00,22.36
2023-01-02 15:30:00,0.0
2023-01-02 15:45:00,19.76
2023-01-02 16:00:00,20.69
2023-01-02 16:15:00,0.0
2023-01-02 16:30:00,25.03
2023-01-02 16:45:00,25.67
2023-01-02 17:00:00,28.89
2023-01-02 17:15:00,33.9
2023-01-02 17:30:00,37.84
2023-01-02 17:45:00,36.86
2023-01-02 18:00:00,37.435
2023-01-02 18:15:00,38.01
2023-01-02 18:30:00,0.0
2023-01-02 18:45:00,32.38
2023-01-02 19:00:00,34.26
2023-01-02 19:15:00,35.07
2023-01-02 19:30:00,34.89
2023-01-02 19:45:00,0.0
2023-01-02 20:00:00,27.67
2023-01-02 20:15:00,30.36
2023-01-02 20:30:00,27.83
2023-01-02 20:45:00,25.3
2023-01-02 21:00:00,26.63
2023-01-02 21:15:00,24.905
2023-01-02 21:30:00,23.18
2023-01-02 21:45:00,23.3
2023-01-02 22:00:00,21.3
2023-01-02 22:15:00,0.0
2023-01-02 22:30:00,18.5
2023-01-02 22:45:00,18.66
2023-01-02 23:00:00,0.0
2023-01-02 23:15:00,15.72
2023-01-02 23:30:00,14.71
2023-01-02 23:45:00,0.0
2023-01-03 00:00:00,13.25
2023-01-03 00:15:00,11.46
2023-01-03 00:30:00,10.66
2023-01-03 00:45:00,12.23
2023-01-03 01:00:00,10.99
2023-01-03 01:15:00,10.26
2023-01-03 01:30:00,10.01
2023-01-03 01:45:00,9.76
2023-01-03 02:00:00,10.59
2023-01-03 02:15:00,8.93
2023-01-03 02:30:00,0.0
2023-01-03 02:45:00,8.24
2023-01-03 03:00:00,9.129999999999999
2023-01-03 03:15:00,10.02
2023-01-03 03:30:00,8.69
2023-01-03 03:45:00,8.82
2023-01-03 04:00:00,0.0
2023-01-03 04:15:00,9.04
2023-01-03 04:30:00,8.86
2023-01-03 04:45:00,0.0
2023-01-03 05:00:00,10.17
2023-01-03 05:15:00,0.0
2023-01-03 05:30:00,9.97
2023-01-03 05:45:00,9.91
2023-01-03 06:00:00,0.0
2023-01-03 06:15:00,11.74
2023-01-03 06:30:00,0.0
2023-01-03 06:45:00,17.19
2023-01-03 07:00:00,22.25
2023-01-03 07:15:00,24.94
2023-01-03 07:30:00,24.34
2023-01-03 07:45:00,22.45
2023-01-03 08:00:00,23.67
2023-01-03 08:15:00,21.13
2023-01-03 08:30:00,23.73
2023-01-03 08:45:00,21.62
2023-01-03 09:00:00,22.27
2023-01-03 09:15:00,20.65
2023-01-03 09:30:00,21.5
2023-01-03 09:45:00,20.87
2023-01-03 10:00:00,19.61
2023-01-03 10:15:00,19.66
2023-01-03 10:30:00,23.47
2023-01-03 10:45:00,22.04
2023-01-03 11:00:00,26.8
2023-01-03 11:15:00,33.02
2023-01-03 11:30:00,32.17
2023-01-03 11:45:00,35.78
2023-01-03 12:00:00,28.73
2023-01-03 12:15:00,0.0
2023-01-03 12:30:00,21.79
2023-01-03 12:45:00,0.0
2023-01-03 13:00:00,0.0
2023-01-03 13:15:00,21.58
2023-01-03 13:30:00,0.0
2023-01-03 13:45:00,19.56
2023-01-03 14:00:00,22.17
2023-01-03 14:15:00,23.93
2023-01-03 14:30:00,20.19
2023-01-03 14:45:00,18.64
2023-01-03 15:00:00,20.545
2023-01-03 15:15:00,22.45
2023-01-03 15:30:00,0.0
2023-01-03 15:45:00,0.0
2023-01-03 16:00:00,0.0
2023-01-03 16:15:00,23.53
2023-01-03 16:30:00,27.83
2023-01-03 16:45:00,29.23
2023-01-03 17:00:00,32.52
2023-01-03 17:15:00,0.0
2023-01-03 17:30:00,41.33
2023-01-03 17:45:00,36.7
2023-01-03 18:00:00,35.91
2023-01-03 18:15:00,33.38
2023-01-03 18:30:00,34.22
2023-01-03 18:45:00,0.0
2023-01-03 19:00:00,35.75
2023-01-03 19:15:00,34.75
2023-01-03 19:30:00,0.0
2023-01-03 19:45:00,32.69
2023-01-03 20:00:00,32.52
2023-01-03 20:15:00,30.32
2023-01-03 20:30:00,30.62
2023-01-03 20:45:00,30.18
2023-01-03 21:00:00,29.29
2023-01-03 21:15:00,26.69
2023-01-03 21:30:00,24.76
2023-01-03 21:45:00,23.155
2023-01-03 22:00:00,21.55
2023-01-03 22:15:00,22.11
2023-01-03 22:30:00,20.64
2023-01-03 22:45:00,19.54
2023-01-03 23:00:00,17.74
2023-01-03 23:15:00,17.64
2023-01-03 23:30:00,15.05
2023-01-03 23:45:00,0.0
2023-01-04 00:00:00,13.24
2023-01-04 00:15:00,13.67
2023-01-04 00:30:00,11.9
2023-01-04 00:45:00,10.87
2023-01-04 01:00:00,0.0
2023-01-04 01:15:00,10.65
2023-01-04 01:30:00,10.69
2023-01-04 01:45:00,9.91
2023-01-04 02:00:00,10.31
2023-01-04 02:15:00,9.26
2023-01-04 02:30:00,9.655000000000001
2023-01-04 02:45:00,10.05
2023-01-04 03:00:00,9.38
2023-01-04 03:15:00,10.71
2023-01-04 03:30:00,9.41
2023-01-04 03:45:00,9.8
2023-01-04 04:00:00,10.47
2023-01-04 04:15:00,8.8
2023-01-04 04:30:00,9.11
2023-01-04 04:45:00,9.42
2023-01-04 05:00:00,9.02
2023-01-04 05:15:00,10.34
2023-01-04 05:30:00,10.22
2023-01-04 05:45:00,11.63
2023-01-04 06:00:00,11.98
2023-01-04 06:15:00,13.32
2023-01-04 06:30:00,14.99
2023-01-04 06:45:00,17.1
2023-01-04 07:00:00,0.0
2023-01-04 07:15:00,25.26
2023-01-04 07:30:00,25.2
2023-01-04 07:45:00,22.4
2023-01-04 08:00:00,0.0
2023-01-04 08:15:00,20.91
2023-01-04 08:30:00,22.83
2023-01-04 08:45:00,23.24
2023-01-04 09:00:00,19.47
2023-01-04 09:15:00,19.08
2023-01-04 09:30:00,23.18
2023-01-04 09:45:00,18.59
2023-01-04 10:00:00,0.0
2023-01-04 10:15:00,19.9
2023-01-04 10:30:00,22.81
2023-01-04 10:45:00,0.0
2023-01-04 11:00:00,28.73
2023-01-04 11:15:00,0.0
2023-01-04 11:30:00,31.99
2023-01-04 11:45:00,31.56
2023-01-04 12:00:00,0.0
2023-01-04 12:15:00,27.2
2023-01-04 12:30:00,27.04
2023-01-04 12:45:00,24.29
2023-01-04 13:00:00,21.1
2023-01-04 13:15:00,19.14
2023-01-04 13:30:00,18.09
2023-01-04 13:45:00,22.21
2023-01-04 14:00:00,20.48
2023-01-04 14:15:00,20.41
2023-01-04 14:30:00,18.88
2023-01-04 14:45:00,15.89
2023-01-04 15:00:00,19.08
2023-01-04 15:15:00,20.03
2023-01-04 15:30:00,19.05
2023-01-04 15:45:00,20.84
2023-01-04 16:00:00,21.89
2023-01-04 16:15:00,21.57
2023-01-04 16:30:00,0.0
2023-01-04 16:45:00,23.24
2023-01-04 17:00:00,27.11
2023-01-04 17:15:00,32.82
2023-01-04 17:30:00,33.09
2023-01-04 17:45:00,41.72
2023-01-04 18:00:00,40.92
2023-01-04 18:15:00,44.13
2023-01-04 18:30:00,36.33
2023-01-04 18:45:00,0.0
2023-01-04 19:00:00,34.08
2023-01-04 19:15:00,36.12
2023-01-04 19:30:00,30.42
2023-01-04 19:45:00,30.84
2023-01-04 20:00:00,33.64
2023-01-04 20:15:00,0.0
2023-01-04 20:30:00,27.96
2023-01-04 20:45:00,30.01
2023-01-04 21:00:00,0.0
2023-01-04 21:15:00,27.52
2023-01-04 21:30:00,0.0
2023-01-04 21:45:00,23.09
2023-01-04 22:00:00,21.79
2023-01-04 22:15:00,22.79
2023-01-04 22:30:00,20.84
2023-01-04 22:45:00,19.36
2023-01-04 23:00:00,19.63
2023-01-04 23:15:00,18.65
2023-01-04 23:30:00,16.67
2023-01-04 23:45:00,0.0
2023-01-05 00:00:00,6.52
2023-01-05 00:15:00,13.04
2023-01-05 00:30:00,10.85
2023-01-05 00:45:00,0.0
2023-01-05 01:00:00,10.43
2023-01-05 01:15:00,9.84
2023-01-05 01:30:00,9.35
2023-01-05 01:45:00,9.85
2023-01-05 02:00:00,0.0
2023-01-05 02:15:00,0.0
2023-01-05 02:30:00,9.37
2023-01-05 02:45:00,8.29
2023-01-05 03:00:00,0.0
2023-01-05 03:15:00,10.1
2023-01-05 03:30:00,9.61
2023-01-05 03:45:00,9.47
2023-01-05 04:00:00,9.64
2023-01-05 04:15:00,8.75
2023-01-05 04:30:00,8.83
2023-01-05 04:45:00,9.58
2023-01-05 05:00:00,9.56
2023-01-05 05:15:00,10.66
2023-01-05 05:30:00,11.03
2023-01-05 05:45:00,11.625
2023-01-05 06:00:00,12.22
2023-01-05 06:15:00,13.63
2023-01-05 06:30:00,14.84
2023-01-05 06:45:00,16.73
2023-01-05 07:00:00,0.0
2023-01-05 07:15:00,0.0
2023-01-05 07:30:00,0.0
2023-01-05 07:45:00,26.39
2023-01-05 08:00:00,23.22
2023-01-05 08:15:00,0.0
2023-01-05 08:30:00,21.04
2023-01-05 08:45:00,23.1
2023-01-05 09:00:00,19.05
2023-01-05 09:15:00,19.33
2023-01-05 09:30:00,19.85
2023-01-05 09:45:00,19.43
2023-01-05 10:00:00,20.72
2023-01-05 10:15:00,0.0
2023-01-05 10:30:00,20.63
2023-01-05 10:45:00,24.97
2023-01-05 11:00:00,28.16
2023-01-05 11:15:00,0.0
2023-01-05 11:30:00,33.82
2023-01-05 11:45:00,27.51
2023-01-05 12:00:00,24.99
2023-01-05 12:15:00,24.34
2023-01-05 12:30:00,23.93
2023-01-05 12:45:00,21.21
2023-01-05 13:00:00,17.83
2023-01-05 13:15:00,20.92
2023-01-05 13:30:00,17.93
2023-01-05 13:45:00,19.44
2023-01-05 14:00:00,20.19
2023-01-05 14:15:00,18.36
2023-01-05 14:30:00,19.76
2023-01-05 14:45:00,14.12
2023-01-05 15:00:00,16.31
2023-01-05 15:15:00,16.84
2023-01-05 15:30:00,15.69
2023-01-05 15:45:00,19.28
2023-01-05 16:00:00,0.0
2023-01-05 16:15:00,0.0
2023-01-05 16:30:00,24.83
2023-01-05 16:45:00,20.8
2023-01-05 17:00:00,26.43
2023-01-05 17:15:00,0.0
2023-01-05 17:30:00,39.18
2023-01-05 17:45:00,39.7
2023-01-05 18:00:00,38.87
2023-01-05 18:15:00,38.06
2023-01-05 18:30:00,33.38
2023-01-05 18:45:00,33.265
2023-01-05 19:00:00,33.15
2023-01-05 19:15:00,32.81
2023-01-05 19:30:00,31.58
2023-01-05 19:45:00,31.21
2023-01-05 20:00:00,28.69
2023-01-05 20:15:00,28.06
2023-01-05 20:30:00,28.13
2023-01-05 20:45:00,26.47
2023-01-05 21:00:00,26.23
2023-01-05 21:15:00,27.17
2023-01-05 21:30:00,25.29
2023-01-05 21:45:00,0.0
2023-01-05 22:00:00,0.0
2023-01-05 22:15:00,26.02
2023-01-05 22:30:00,21.83
2023-01-05 22:45:00,22.27
2023-01-05 23:00:00,17.37
2023-01-05 23:15:00,0.0
2023-01-05 23:30:00,16.84
2023-01-05 23:45:00,0.0
2023-01-06 00:00:00,13.23
2023-01-06 00:15:00,12.435
2023-01-06 00:30:00,11.64
2023-01-06 00:45:00,11.49
2023-01-06 01:00:00,11.46
2023-01-06 01:15:00,10.49
2023-01-06 01:30:00,10.55
2023-01-06 01:45:00,0.0
2023-01-06 02:00:00,10.33
2023-01-06 02:15:00,9.52
2023-01-06 02:30:00,9.42
2023-01-06 02:45:00,9.38
2023-01-06 03:00:00,11.04
2023-01-06 03:15:00,9.22
2023-01-06 03:30:00,7.43
2023-01-06 03:45:00,7.49
2023-01-06 04:00:00,7.45
2023-01-06 04:15:00,7.41
2023-01-06 04:30:00,8.41
2023-01-06 04:45:00,8.41
2023-01-06 05:00:00,8.26
2023-01-06 05:15:00,9.01
2023-01-06 05:30:00,10.12
2023-01-06 05:45:00,11.87
2023-01-06 06:00:00,10.11
2023-01-06 06:15:00,12.19
2023-01-06 06:30:00,17.1
2023-01-06 06:45:00,16.83
2023-01-06 07:00:00,22.13
2023-01-06 07:15:00,27.72
2023-01-06 07:30:00,23.36
2023-01-06 07:45:00,23.39
2023-01-06 08:00:00,17.93
2023-01-06 08:15:00,19.619999999999997
2023-01-06 08:30:00,21.31
2023-01-06 08:45:00,19.01
2023-01-06 09:00:00,0.0
2023-01-06 09:15:00,19.28
2023-01-06 09:30:00,18.2
2023-01-06 09:45:00,0.0
2023-01-06 10:00:00,19.07
2023-01-06 10:15:00,17.27
2023-01-06 10:30:00,0.0
2023-01-06 10:45:00,24.7
2023-01-06 11:00:00,0.0
2023-01-06 11:15:00,27.89
2023-01-06 11:30:00,34.57
2023-01-06 11:45:00,0.0
2023-01-06 12:00:00,25.55
2023-01-06 12:15:00,24.82
2023-01-06 12:30:00,22.57
2023-01-06 12:45:00,24.49
2023-01-06 13:00:00,0.0
2023-01-06 13:15:00,20.02
2023-01-06 13:30:00,17.93
2023-01-06 13:45:00,0.0
2023-01-06 14:00:00,0.0
2023-01-06 14:15:00,0.0
2023-01-06 14:30:00,16.71
2023-01-06 14:45:00,17.0
2023-01-06 15:00:00,18.15
2023-01-06 15:15:00,18.27
2023-01-06 15:30:00,18.16
2023-01-06 15:45:00,15.51
2023-01-06 16:00:00,0.0
2023-01-06 16:15:00,21.1
2023-01-06 16:30:00,18.76
2023-01-06 16:45:00,24.47
2023-01-06 17:00:00,28.01
2023-01-06 17:15:00,33.12
2023-01-06 17:30:00,31.32
2023-01-06 17:45:00,0.0
2023-01-06 18:00:00,0.0
2023-01-06 18:15:00,42.75
2023-01-06 18:30:00,35.39
2023-01-06 18:45:00,0.0
2023-01-06 19:00:00,0.0
2023-01-06 19:15:00,34.2
2023-01-06 19:30:00,32.45
2023-01-06 19:45:00,31.66
2023-01-06 20:00:00,32.58
2023-01-06 20:15:00,0.0
2023-01-06 20:30:00,31.67
2023-01-06 20:45:00,29.92
2023-01-06 21:00:00,29.36
2023-01-06 21:15:00,26.48
2023-01-06 21:30:00,23.29
2023-01-06 21:45:00,23.17
2023-01-06 22:00:00,22.4
2023-01-06 22:15:00,20.9
2023-01-06 22:30:00,0.0
2023-01-06 22:45:00,18.75
2023-01-06 23:00:00,17.225
2023-01-06 23:15:00,15.7
2023-01-06 23:30:00,15.66
2023-01-06 23:45:00,0.0
2023-01-07 00:00:00,14.13
2023-01-07 00:15:00,12.29
2023-01-07 00:30:00,11.46
2023-01-07 00:45:00,11.47
2023-01-07 01:00:00,11.48
2023-01-07 01:15:00,12.15
2023-01-07 01:30:00,10.54
2023-01-07 01:45:00,9.2
2023-01-07 02:00:00,10.55
2023-01-07 02:15:00,10.46
2023-01-07 02:30:00,9.91
2023-01-07 02:45:00,8.91
2023-01-07 03:00:00,8.61
2023-01-07 03:15:00,8.42
2023-01-07 03:30:00,0.0
2023-01-07 03:45:00,7.81
2023-01-07 04:00:00,0.0
2023-01-07 04:15:00,8.58
2023-01-07 04:30:00,7.83
2023-01-07 04:45:00,8.82
2023-01-07 05:00:00,8.81
2023-01-07 05:15:00,8.77
2023-01-07 05:30:00,11.03
2023-01-07 05:45:00,0.0
2023-01-07 06:00:00,11.7
2023-01-07 06:15:00,12.65
2023-01-07 06:30:00,13.67
2023-01-07 06:45:00,16.45
2023-01-07 07:00:00,0.0
2023-01-07 07:15:00,25.49
2023-01-07 07:30:00,21.73
2023-01-07 07:45:00,21.04
2023-01-07 08:00:00,21.564999999999998
2023-01-07 08:15:00,22.09
2023-01-07 08:30:00,24.05
2023-01-07 08:45:00,21.89
2023-01-07 09:00:00,20.82
2023-01-07 09:15:00,20.743333333333332
2023-01-07 09:30:00,20.666666666666668
2023-01-07 09:45:00,20.59
2023-01-07 10:00:00,19.32
2023-01-07 10:15:00,20.075
2023-01-07 10:30:00,20.83
2023-01-07 10:45:00,0.0
2023-01-07 11:00:00,26.16
2023-01-07 11:15:00,30.57
2023-01-07 11:30:00,29.46
2023-01-07 11:45:00,28.35
2023-01-07 12:00:00,32.34
2023-01-07 12:15:00,26.24
2023-01-07 12:30:00,26.46
2023-01-07 12:45:00,23.19
2023-01-07 13:00:00,0.0
2023-01-07 13:15:00,20.16
2023-01-07 13:30:00,19.0
2023-01-07 13:45:00,0.0
2023-01-07 14:00:00,19.51
2023-01-07 14:15:00,19.48
2023-01-07 14:30:00,16.87
2023-01-07 14:45:00,16.23
2023-01-07 15:00:00,17.58
2023-01-07 15:15:00,17.63
2023-01-07 15:30:00,0.0
2023-01-07 15:45:00,17.5
2023-01-07 16:00:00,18.06
2023-01-07 16:15:00,19.26
2023-01-07 16:30:00,23.2
2023-01-07 16:45:00,23.72
2023-01-07 17:00:00,27.28
2023-01-07 17:15:00,34.26
2023-01-07 17:30:00,35.49
2023-01-07 17:45:00,34.07
2023-01-07 18:00:00,36.22
2023-01-07 18:15:00,33.51
2023-01-07 18:30:00,0.0
2023-01-07 18:45:00,0.0
2023-01-07 19:00:00,34.55
2023-01-07 19:15:00,31.76
2023-01-07 19:30:00,33.33
2023-01-07 19:45:00,31.92
2023-01-07 20:00:00,0.0
2023-01-07 20:15:00,0.0
2023-01-07 20:30:00,27.46
2023-01-07 20:45:00,25.41
2023-01-07 21:00:00,27.52
2023-01-07 21:15:00,24.86
2023-01-07 21:30:00,23.83
2023-01-07 21:45:00,22.84
2023-01-07 22:00:00,22.92
2023-01-07 22:15:00,22.94
2023-01-07 22:30:00,20.08
2023-01-07 22:45:00,19.64
2023-01-07 23:00:00,0.0
2023-01-07 23:15:00,16.03
2023-01-07 23:30:00,17.22
2023-01-07 23:45:00,0.0
2023-01-08 00:00:00,14.46
2023-01-08 00:15:00,12.64
2023-01-08 00:30:00,12.69
2023-01-08 00:45:00,10.97
2023-01-08 01:00:00,12.13
2023-01-08 01:15:00,11.32
2023-01-08 01:30:00,0.0
2023-01-08 01:45:00,11.16
2023-01-08 02:00:00,9.62
2023-01-08 02:15:00,9.0
2023-01-08 02:30:00,9.33
2023-01-08 02:45:00,0.0
2023-01-08 03:00:00,9.16
2023-01-08 03:15:00,9.59
2023-01-08 03:30:00,9.34
2023-01-08 03:45:00,9.7
2023-01-08 04:00:00,8.6
2023-01-08 04:15:00,8.19
2023-01-08 04:30:00,9.11
2023-01-08 04:45:00,7.94
2023-01-08 05:00:00,9.02
2023-01-08 05:15:00,8.82
2023-01-08 05:30:00,8.8
2023-01-08 05:45:00,9.03
2023-01-08 06:00:00,10.3
2023-01-08 06:15:00,13.79
2023-01-08 06:30:00,0.0
2023-01-08 06:45:00,14.65
2023-01-08 07:00:00,18.9
2023-01-08 07:15:00,25.25
2023-01-08 07:30:00,22.9
2023-01-08 07:45:00,25.58
2023-01-08 08:00:00,0.0
2023-01-08 08:15:00,23.55
2023-01-08 08:30:00,20.22
2023-01-08 08:45:00,23.62
2023-01-08 09:00:00,22.89
2023-01-08 09:15:00,18.99
2023-01-08 09:30:00,21.74
2023-01-08 09:45:00,19.85
2023-01-08 10:00:00,19.9
2023-01-08 10:15:00,17.84
2023-01-08 10:30:00,22.1
2023-01-08 10:45:00,22.56
2023-01-08 11:00:00,23.49
2023-01-08 11:15:00,32.42
2023-01-08 11:30:00,0.0
2023-01-08 11:45:00,0.0
2023-01-08 12:00:00,29.53
2023-01-08 12:15:00,25.65
2023-01-08 12:30:00,24.12
2023-01-08 12:45:00,21.25
2023-01-08 13:00:00,23.75
2023-01-08 13:15:00,0.0
2023-01-08 13:30:00,0.0
2023-01-08 13:45:00,19.27
2023-01-08 14:00:00,18.65
2023-01-08 14:15:00,19.78
2023-01-08 14:30:00,18.65
2023-01-08 14:45:00,18.47
2023-01-08 15:00:00,19.72
2023-01-08 15:15:00,17.39
2023-01-08 15:30:00,16.14
2023-01-08 15:45:00,16.83
2023-01-08 16:00:00,20.38
2023-01-08 16:15:00,19.65
2023-01-08 16:30:00,21.34
2023-01-08 16:45:00,24.12
2023-01-08 17:00:00,28.86
2023-01-08 17:15:00,33.64
2023-01-08 17:30:00,35.67
2023-01-08 17:45:00,37.75
2023-01-08 18:00:00,35.06
2023-01-08 18:15:00,39.9
2023-01-08 18:30:00,36.68
2023-01-08 18:45:00,35.03
2023-01-08 19:00:00,35.88
2023-01-08 19:15:00,0.0
2023-01-08 19:30:00,16.125
2023-01-08 19:45:00,32.25
2023-01-08 20:00:00,32.11
2023-01-08 20:15:00,29.95
2023-01-08 20:30:00,28.31
2023-01-08 20:45:00,25.3
2023-01-08 21:00:00,0.0
2023-01-08 21:15:00,27.38
2023-01-08 21:30:00,25.13
2023-01-08 21:45:00,24.23
2023-01-08 22:00:00,25.3
2023-01-08 22:15:00,24.23
2023-01-08 22:30:00,25.11
2023-01-08 22:45:00,22.89
2023-01-08 23:00:00,19.55
2023-01-08 23:15:00,18.73
2023-01-08 23:30:00,16.9
2023-01-08 23:45:00,0.0
2023-01-09 00:00:00,13.51
2023-01-09 00:15:00,0.0
2023-01-09 00:30:00,12.77
2023-01-09 00:45:00,11.87
2023-01-09 01:00:00,12.78
2023-01-09 01:15:00,10.6
2023-01-09 01:30:00,10.31
2023-01-09 01:45:00,9.97
2023-01-09 02:00:00,10.0
2023-01-09 02:15:00,0.0
