date,min,q1,median,q3,max
2023-05,29788482.0,31879785.0,32861605.0,33279529.0,34967183.0
2023-06,30925956.0,32503512.5,32920015.0,33675499.75,35121706.0
2023-07,33676053.0,35294763.5,35988003.0,36421947.0,37545547.0
2023-08,34529768.0,35517368.5,36397154.0,36740732.5,37976858.0
2023-09,35124177.0,35759594.0,36378589.0,36950521.25,38165860.0
2023-10,32757612.0,33833389.5,34729747.0,35074360.0,35835445.0
2023-11,33625727.0,34586385.75,34947553.5,35290508.75,35972505.0
2023-12,31647795.0,33268382.5,34444954.0,34977231.0,36438018.0
2024-01,29023901.0,33125193.5,35954968.0,36521080.0,37341149.0
2024-02,4845458.0,11581042.0,21870041.0,32848234.0,36106305.0
2024-03,34774027.0,35696361.0,35920470.0,36371170.0,36852722.0
2024-04,31286733.0,33923218.0,35115704.5,35856504.75,36325791.0
2024-05,31034613.0,33417156.5,34287547.0,35241067.5,36173574.0
2024-06,31716820.0,33639671.5,34540778.0,35519368.75,37019065.0
2024-07,34690084.0,35782662.0,36302272.0,36534329.5,37618353.0
2024-08,33810198.0,36229231.0,36960504.0,37923595.0,39350484.0
2024-09,33557133.0,35841132.0,36819723.5,38195276.75,40338457.0
2024-10,33545689.0,35211009.5,36343395.0,37385564.5,39490126.0
2024-11,35562370.0,37025353.75,37879790.0,38210695.5,39435478.0
2024-12,36892802.0,37876561.5,38362991.0,38987377.5,40374505.0
2025-01,5297131.0,16687575.0,34047473.0,38759313.5,40153709.0
2025-02,23225697.0,32462193.25,37401401.5,39409997.25,40467042.0
2025-03,36319469.0,37583320.0,38444914.0,39336824.0,41142567.0
2025-04,34094842.0,35904314.75,36557503.0,37313465.75,37957277.0
2025-05,31944893.0,35001382.0,36636770.0,37308942.5,38931687.0
2025-06,34092116.0,35993598.25,36838615.5,37343357.75,39155145.0
2025-07,36196603.0,37940509.0,38592036.0,39435780.5,40187602.0
2025-08,37306249.0,39418727.0,40170230.0,40849991.0,41672863.0
2025-09,36309369.0,39176846.25,40421390.5,41595662.5,42790970.0
2025-10,35578850.0,37389218.0,40159579.0,40782908.5,42190338.0
2025-11,38120027.0,39155090.5,39928581.5,40417577.5,41616210.0
